Extracurricular_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,study_hours,sleep_hours,Academic Pressure,Financial Stress,Depression
3.0,5.4,1.3,3.58,High,9,6,2.0,3.0,1
3.0,5.4,1.3,3.58,High,9,6,5.0,4.0,1
1.8,2.0,5.5,3.35,High,8,6,4.0,5.0,1
1.8,2.0,5.5,3.35,High,8,6,5.0,5.0,0
3.0,2.8,0.8,3.26,High,8,9,4.0,4.0,1
3.0,2.8,0.8,3.26,High,8,9,2.0,2.0,0
3.0,2.8,0.8,3.26,High,8,9,2.0,5.0,0
0.5,4.6,6.4,2.86,High,7,6,1.0,4.0,0
0.5,4.6,6.4,2.86,High,7,6,4.0,2.0,0
0.5,4.6,6.4,2.86,High,7,6,5.0,5.0,1
0.3,3.4,4.5,3.21,Moderate,7,9,3.0,4.0,1
0.3,3.4,4.5,3.21,Moderate,7,9,4.0,5.0,1
0.3,3.4,4.5,3.21,Moderate,7,9,3.0,4.0,1
0.5,3.9,8.7,2.9,High,5,6,2.0,2.0,0
0.5,3.9,8.7,2.9,High,5,6,4.0,4.0,1
1.5,5.2,1.1,3.78,High,10,6,5.0,5.0,1
1.5,5.2,1.1,3.78,High,10,6,5.0,2.0,1
1.5,5.2,1.1,3.78,High,10,6,3.0,4.0,1
1.5,5.2,1.1,3.78,High,10,6,5.0,5.0,0
1.5,5.2,1.1,3.78,High,10,6,3.0,5.0,1
1.5,5.2,1.1,3.78,High,10,6,4.0,2.0,1
1.5,5.2,1.1,3.78,High,10,6,1.0,3.0,0
1.5,5.2,1.1,3.78,High,10,6,3.0,5.0,1
1.5,5.2,1.1,3.78,High,10,6,4.0,4.0,0
1.5,5.2,1.1,3.78,High,10,6,4.0,1.0,1
2.1,4.9,2.0,3.1,High,8,6,2.0,3.0,0
2.1,4.9,2.0,3.1,High,8,6,5.0,2.0,1
2.1,4.9,2.0,3.1,High,8,6,5.0,5.0,1
0.6,2.1,3.4,3.39,High,10,8,4.0,4.0,1
3.4,0.7,0.9,3.15,High,10,9,3.0,1.0,1
3.4,0.7,0.9,3.15,High,10,9,1.0,4.0,0
3.4,0.7,0.9,3.15,High,10,9,5.0,3.0,1
3.4,0.7,0.9,3.15,High,10,9,3.0,3.0,1
3.4,0.7,0.9,3.15,High,10,9,4.0,1.0,0
3.4,0.7,0.9,3.15,High,10,9,5.0,5.0,1
3.4,0.7,0.9,3.15,High,10,9,4.0,1.0,1
2.2,2.8,0.2,3.41,High,10,9,3.0,1.0,0
2.2,2.8,0.2,3.41,High,10,9,5.0,1.0,1
2.2,2.8,0.2,3.41,High,10,9,1.0,2.0,0
2.2,2.8,0.2,3.41,High,10,9,4.0,3.0,1
2.2,2.8,0.2,3.41,High,10,9,5.0,4.0,1
2.2,2.8,0.2,3.41,High,10,9,2.0,5.0,0
2.2,2.8,0.2,3.41,High,10,9,3.0,2.0,0
2.7,2.1,5.0,2.98,Moderate,6,8,2.0,5.0,1
2.7,2.1,5.0,2.98,Moderate,6,8,1.0,2.0,0
3.1,4.9,0.8,2.99,Moderate,8,8,1.0,1.0,0
3.1,4.9,0.8,2.99,Moderate,8,8,1.0,2.0,1
3.1,4.9,0.8,2.99,Moderate,8,8,5.0,3.0,1
2.2,1.9,2.7,3.3,Moderate,8,9,4.0,5.0,1
2.2,1.9,2.7,3.3,Moderate,8,9,5.0,4.0,1
2.2,1.9,2.7,3.3,Moderate,8,9,3.0,5.0,1
2.2,1.9,2.7,3.3,Moderate,8,9,5.0,2.0,0
2.2,1.9,2.7,3.3,Moderate,8,9,3.0,4.0,0
2.2,1.9,2.7,3.3,Moderate,8,9,5.0,1.0,1
2.2,1.9,2.7,3.3,Moderate,8,9,3.0,1.0,0
2.2,1.9,2.7,3.3,Moderate,8,9,1.0,4.0,0
0.9,0.1,8.8,3.55,High,8,6,2.0,2.0,0
0.9,0.1,8.8,3.55,High,8,6,5.0,5.0,1
3.9,1.7,3.6,3.08,Moderate,7,8,3.0,3.0,0
3.9,1.7,3.6,3.08,Moderate,7,8,3.0,4.0,1
3.9,1.7,3.6,3.08,Moderate,7,8,4.0,4.0,1
3.9,1.7,3.6,3.08,Moderate,7,8,3.0,1.0,0
0.7,0.2,8.8,3.14,High,8,6,1.0,2.0,0
0.7,0.2,8.8,3.14,High,8,6,3.0,4.0,1
0.7,0.2,8.8,3.14,High,8,6,2.0,1.0,0
0.7,0.2,8.8,3.14,High,8,6,4.0,4.0,1
0.7,0.2,8.8,3.14,High,8,6,3.0,3.0,1
0.7,0.2,8.8,3.14,High,8,6,3.0,5.0,0
0.7,0.2,8.8,3.14,High,8,6,3.0,5.0,1
0.4,2.8,9.3,2.73,High,6,6,4.0,5.0,1
0.4,2.8,9.3,2.73,High,6,6,4.0,3.0,1
0.4,2.8,9.3,2.73,High,6,6,5.0,3.0,1
1.5,4.1,4.9,2.76,Moderate,6,8,3.0,4.0,0
1.5,4.1,4.9,2.76,Moderate,6,8,1.0,3.0,0
1.0,5.4,3.8,3.4,Low,5,9,4.0,1.0,1
0.6,1.0,10.7,2.94,Low,6,6,3.0,5.0,0
0.6,1.0,10.7,2.94,Low,6,6,1.0,1.0,0
0.6,1.0,10.7,2.94,Low,6,6,3.0,2.0,0
1.1,5.4,5.7,2.89,High,6,6,5.0,4.0,1
1.1,5.4,5.7,2.89,High,6,6,1.0,4.0,0
3.9,2.4,5.0,2.9,High,7,6,3.0,5.0,0
3.9,2.4,5.0,2.9,High,7,6,3.0,5.0,1
3.9,2.4,5.0,2.9,High,7,6,5.0,5.0,1
3.9,2.4,5.0,2.9,High,7,6,4.0,5.0,1
3.9,2.4,5.0,2.9,High,7,6,1.0,4.0,1
3.5,0.4,1.2,3.57,High,10,9,4.0,1.0,0
3.5,0.4,1.2,3.57,High,10,9,4.0,4.0,1
3.5,0.4,1.2,3.57,High,10,9,2.0,1.0,0
3.5,0.4,1.2,3.57,High,10,9,4.0,4.0,1
3.5,0.4,1.2,3.57,High,10,9,5.0,1.0,1
3.5,0.4,1.2,3.57,High,10,9,4.0,5.0,0
2.2,1.2,3.1,3.24,High,10,8,3.0,5.0,1
2.2,1.2,3.1,3.24,High,10,8,4.0,5.0,1
2.2,1.2,3.1,3.24,High,10,8,5.0,4.0,1
2.2,1.2,3.1,3.24,High,10,8,1.0,3.0,0
2.4,3.5,6.1,2.85,Low,6,6,2.0,4.0,0
1.9,0.3,8.3,2.7,Low,6,8,3.0,4.0,1
1.9,0.3,8.3,2.7,Low,6,8,3.0,5.0,0
3.7,4.2,0.2,2.85,Moderate,7,9,3.0,3.0,1
3.7,4.2,0.2,2.85,Moderate,7,9,3.0,2.0,1
3.7,4.2,0.2,2.85,Moderate,7,9,5.0,5.0,1
3.7,4.2,0.2,2.85,Moderate,7,9,5.0,1.0,0
3.4,4.8,2.2,3.15,High,8,6,5.0,4.0,1
0.7,4.9,6.6,2.96,High,6,6,2.0,1.0,0
3.2,3.2,3.8,3.08,Low,6,8,5.0,2.0,1
3.2,1.7,3.8,3.59,High,10,6,3.0,4.0,1
3.2,1.7,3.8,3.59,High,10,6,5.0,2.0,1
3.2,1.7,3.8,3.59,High,10,6,1.0,3.0,1
3.2,1.7,3.8,3.59,High,10,6,3.0,5.0,1
3.2,1.7,3.8,3.59,High,10,6,5.0,4.0,1
3.2,1.7,3.8,3.59,High,10,6,4.0,3.0,1
2.3,5.3,2.4,2.61,Low,5,9,2.0,5.0,0
2.3,5.3,2.4,2.61,Low,5,9,1.0,1.0,0
3.3,5.1,3.3,2.95,High,7,6,5.0,2.0,1
3.3,5.1,3.3,2.95,High,7,6,4.0,5.0,0
0.6,4.3,4.0,3.15,High,9,6,2.0,4.0,1
0.6,4.3,4.0,3.15,High,9,6,1.0,4.0,1
0.6,4.3,4.0,3.15,High,9,6,4.0,4.0,1
0.6,4.3,4.0,3.15,High,9,6,4.0,5.0,1
0.6,4.3,4.0,3.15,High,9,6,5.0,5.0,1
0.6,4.3,4.0,3.15,High,9,6,3.0,2.0,1
2.6,2.3,2.0,3.14,High,9,8,1.0,1.0,0
3.6,2.4,4.2,2.64,Low,6,8,3.0,5.0,1
3.6,2.4,4.2,2.64,Low,6,8,4.0,2.0,1
3.8,3.5,3.6,3.58,High,7,6,4.0,4.0,1
3.8,3.5,3.6,3.58,High,7,6,3.0,1.0,0
3.8,3.5,3.6,3.58,High,7,6,1.0,2.0,0
3.8,3.5,3.6,3.58,High,7,6,5.0,1.0,1
3.8,3.5,3.6,3.58,High,7,6,2.0,2.0,0
3.8,3.5,3.6,3.58,High,7,6,4.0,5.0,1
3.8,3.5,3.6,3.58,High,7,6,5.0,5.0,1
3.8,3.5,3.6,3.58,High,7,6,3.0,3.0,1
3.7,0.5,2.8,3.65,High,8,8,5.0,4.0,1
1.4,3.2,1.9,3.43,High,10,8,3.0,4.0,1
1.4,3.2,1.9,3.43,High,10,8,1.0,4.0,0
1.4,3.2,1.9,3.43,High,10,8,5.0,2.0,0
1.4,3.2,1.9,3.43,High,10,8,2.0,1.0,0
1.4,3.2,1.9,3.43,High,10,8,5.0,2.0,1
1.4,3.2,1.9,3.43,High,10,8,4.0,3.0,1
1.4,3.2,1.9,3.43,High,10,8,5.0,4.0,1
1.4,3.2,1.9,3.43,High,10,8,4.0,3.0,1
1.4,3.2,1.9,3.43,High,10,8,5.0,4.0,1
1.4,3.2,1.9,3.43,High,10,8,3.0,1.0,0
1.4,3.2,1.9,3.43,High,10,8,3.0,1.0,1
1.4,3.2,1.9,3.43,High,10,8,1.0,2.0,1
4.0,3.6,3.5,2.59,Low,5,8,2.0,4.0,1
4.0,3.6,3.5,2.59,Low,5,8,5.0,5.0,1
4.0,3.6,3.5,2.59,Low,5,8,3.0,5.0,0
4.0,3.6,3.5,2.59,Low,5,8,3.0,3.0,1
4.0,3.6,3.5,2.59,Low,5,8,2.0,3.0,1
1.8,2.5,3.2,3.58,High,9,8,2.0,5.0,1
1.8,2.5,3.2,3.58,High,9,8,4.0,5.0,1
1.8,2.5,3.2,3.58,High,9,8,3.0,5.0,1
1.8,2.5,3.2,3.58,High,9,8,5.0,5.0,1
1.8,2.5,3.2,3.58,High,9,8,3.0,3.0,1
1.8,2.5,3.2,3.58,High,9,8,2.0,4.0,1
1.8,2.5,3.2,3.58,High,9,8,5.0,5.0,1
1.8,2.5,3.2,3.58,High,9,8,5.0,3.0,1
1.8,2.5,3.2,3.58,High,9,8,5.0,3.0,1
1.8,2.5,3.2,3.58,High,9,8,3.0,2.0,0
1.8,2.5,3.2,3.58,High,9,8,4.0,5.0,1
1.8,2.5,3.2,3.58,High,9,8,3.0,3.0,0
1.8,2.5,3.2,3.58,High,9,8,3.0,5.0,1
1.8,2.5,3.2,3.58,High,9,8,3.0,5.0,1
1.8,2.5,3.2,3.58,High,9,8,3.0,2.0,1
1.8,2.5,3.2,3.58,High,9,8,3.0,3.0,1
0.7,5.7,2.5,2.46,Low,6,9,3.0,4.0,0
0.7,5.7,2.5,2.46,Low,6,9,5.0,3.0,1
0.7,5.7,2.5,2.46,Low,6,9,2.0,5.0,0
0.7,5.7,2.5,2.46,Low,6,9,1.0,3.0,1
0.7,5.7,2.5,2.46,Low,6,9,3.0,4.0,1
0.7,5.7,2.5,2.46,Low,6,9,3.0,3.0,1
0.7,5.7,2.5,2.46,Low,6,9,3.0,5.0,1
0.7,5.7,2.5,2.46,Low,6,9,5.0,5.0,1
0.7,5.7,2.5,2.46,Low,6,9,1.0,1.0,0
1.1,2.5,5.3,3.22,Moderate,7,8,3.0,4.0,1
1.1,2.5,5.3,3.22,Moderate,7,8,4.0,2.0,0
1.1,2.5,5.3,3.22,Moderate,7,8,3.0,2.0,0
1.1,2.5,5.3,3.22,Moderate,7,8,3.0,1.0,0
1.1,2.5,5.3,3.22,Moderate,7,8,5.0,2.0,1
1.1,2.5,5.3,3.22,Moderate,7,8,3.0,3.0,1
1.1,2.5,5.3,3.22,Moderate,7,8,2.0,5.0,1
1.1,2.5,5.3,3.22,Moderate,7,8,3.0,3.0,1
1.1,2.5,5.3,3.22,Moderate,7,8,3.0,4.0,1
1.1,2.5,5.3,3.22,Moderate,7,8,5.0,3.0,1
1.1,2.5,5.3,3.22,Moderate,7,8,4.0,4.0,1
1.1,2.5,5.3,3.22,Moderate,7,8,5.0,4.0,1
1.1,2.5,5.3,3.22,Moderate,7,8,4.0,1.0,0
1.1,2.5,5.3,3.22,Moderate,7,8,3.0,2.0,1
1.1,2.5,5.3,3.22,Moderate,7,8,1.0,2.0,0
1.1,2.5,5.3,3.22,Moderate,7,8,4.0,4.0,1
1.1,2.5,5.3,3.22,Moderate,7,8,4.0,5.0,1
1.1,2.5,5.3,3.22,Moderate,7,8,5.0,3.0,1
1.1,2.5,5.3,3.22,Moderate,7,8,5.0,2.0,1
1.1,2.5,5.3,3.22,Moderate,7,8,5.0,1.0,1
0.4,1.1,8.4,2.52,Low,5,9,5.0,4.0,1
1.0,5.1,3.8,2.97,Low,6,9,4.0,5.0,1
1.6,1.0,3.9,3.5,High,9,8,4.0,2.0,1
1.6,1.0,3.9,3.5,High,9,8,1.0,3.0,0
1.6,1.0,3.9,3.5,High,9,8,3.0,2.0,1
1.6,1.0,3.9,3.5,High,9,8,2.0,5.0,0
1.6,1.0,3.9,3.5,High,9,8,2.0,1.0,0
0.3,0.2,12.4,2.7,Low,5,6,2.0,3.0,0
1.5,1.6,6.6,3.15,Moderate,6,8,2.0,5.0,1
1.5,1.6,6.6,3.15,Moderate,6,8,5.0,5.0,1
1.5,1.6,6.6,3.15,Moderate,6,8,4.0,3.0,1
1.5,1.6,6.6,3.15,Moderate,6,8,2.0,3.0,0
1.5,1.6,6.6,3.15,Moderate,6,8,3.0,4.0,0
1.5,1.6,6.6,3.15,Moderate,6,8,4.0,4.0,0
1.6,2.6,3.9,3.26,High,8,8,4.0,5.0,1
1.6,2.6,3.9,3.26,High,8,8,1.0,3.0,1
1.6,2.6,3.9,3.26,High,8,8,5.0,5.0,1
0.6,2.6,2.7,3.3,High,9,9,4.0,3.0,0
0.6,2.6,2.7,3.3,High,9,9,3.0,1.0,0
1.0,5.0,4.1,2.89,High,8,6,4.0,2.0,0
1.0,5.0,4.1,2.89,High,8,6,2.0,5.0,0
1.0,5.0,4.1,2.89,High,8,6,5.0,3.0,1
1.0,5.0,4.1,2.89,High,8,6,1.0,3.0,1
2.1,1.6,4.5,3.52,High,10,6,2.0,5.0,1
2.1,1.6,4.5,3.52,High,10,6,3.0,2.0,1
2.1,1.6,4.5,3.52,High,10,6,3.0,2.0,1
2.1,1.6,4.5,3.52,High,10,6,2.0,4.0,1
2.1,1.6,4.5,3.52,High,10,6,1.0,5.0,0
2.1,1.6,4.5,3.52,High,10,6,2.0,5.0,0
2.1,1.6,4.5,3.52,High,10,6,3.0,5.0,1
2.1,1.6,4.5,3.52,High,10,6,4.0,2.0,1
2.1,1.6,4.5,3.52,High,10,6,4.0,3.0,1
2.2,5.0,2.1,2.76,Moderate,6,8,3.0,4.0,0
2.2,5.0,2.1,2.76,Moderate,6,8,1.0,3.0,0
0.0,5.4,6.9,2.95,High,6,6,4.0,3.0,1
0.0,5.4,6.9,2.95,High,6,6,5.0,3.0,0
0.0,5.4,6.9,2.95,High,6,6,3.0,4.0,1
2.7,5.5,1.9,3.4,High,8,6,3.0,5.0,1
2.7,5.5,1.9,3.4,High,8,6,3.0,4.0,0
2.7,5.5,1.9,3.4,High,8,6,5.0,2.0,1
1.5,0.3,7.5,3.17,Moderate,7,8,1.0,2.0,0
1.5,0.3,7.5,3.17,Moderate,7,8,3.0,4.0,1
1.5,0.3,7.5,3.17,Moderate,7,8,1.0,2.0,0
3.7,0.7,2.6,3.77,High,8,9,2.0,1.0,0
3.7,0.7,2.6,3.77,High,8,9,3.0,2.0,0
3.7,0.7,2.6,3.77,High,8,9,5.0,5.0,1
3.7,0.7,2.6,3.77,High,8,9,4.0,3.0,0
1.0,0.3,9.5,3.29,Low,5,8,3.0,5.0,1
3.1,0.5,8.2,2.99,High,7,6,3.0,5.0,1
2.0,2.2,2.8,3.43,High,9,8,3.0,2.0,1
2.0,2.2,2.8,3.43,High,9,8,5.0,5.0,1
2.0,2.2,2.8,3.43,High,9,8,3.0,5.0,1
2.0,2.2,2.8,3.43,High,9,8,2.0,2.0,0
2.8,3.4,2.4,3.24,High,9,6,1.0,1.0,0
2.2,4.4,2.1,3.01,Low,6,9,5.0,2.0,1
2.2,4.4,2.1,3.01,Low,6,9,2.0,1.0,0
2.2,4.4,2.1,3.01,Low,6,9,5.0,5.0,0
2.2,4.4,2.1,3.01,Low,6,9,3.0,3.0,0
2.2,4.4,2.1,3.01,Low,6,9,1.0,2.0,0
2.6,3.3,0.6,3.34,High,9,8,4.0,5.0,1
2.6,3.3,0.6,3.34,High,9,8,1.0,2.0,1
3.7,3.4,2.5,3.06,High,8,6,3.0,4.0,1
3.7,3.4,2.5,3.06,High,8,6,2.0,5.0,0
3.7,3.4,2.5,3.06,High,8,6,2.0,5.0,1
0.1,0.1,8.2,2.95,Moderate,6,9,3.0,5.0,1
1.1,1.4,8.2,3.01,Moderate,7,6,1.0,3.0,0
1.1,1.4,8.2,3.01,Moderate,7,6,3.0,3.0,0
1.1,1.4,8.2,3.01,Moderate,7,6,1.0,5.0,1
1.1,1.4,8.2,3.01,Moderate,7,6,4.0,3.0,1
2.7,5.7,2.6,3.08,Moderate,7,6,1.0,4.0,1
2.7,5.7,2.6,3.08,Moderate,7,6,1.0,1.0,0
2.7,5.7,2.6,3.08,Moderate,7,6,1.0,5.0,0
0.7,2.1,6.2,2.81,Moderate,6,9,5.0,3.0,1
0.7,2.1,6.2,2.81,Moderate,6,9,3.0,1.0,1
0.7,2.1,6.2,2.81,Moderate,6,9,3.0,4.0,0
3.9,5.0,0.4,3.08,Low,5,9,1.0,1.0,0
0.6,1.3,4.5,3.16,High,8,9,5.0,5.0,1
0.3,3.0,3.0,3.77,High,8,9,2.0,1.0,0
0.3,3.0,3.0,3.77,High,8,9,3.0,2.0,0
0.3,3.0,3.0,3.77,High,8,9,5.0,5.0,1
0.3,3.0,3.0,3.77,High,8,9,4.0,3.0,0
1.4,2.9,2.2,3.26,High,9,8,3.0,3.0,1
3.5,3.4,1.8,3.11,Moderate,6,9,2.0,4.0,0
3.5,3.4,1.8,3.11,Moderate,6,9,5.0,2.0,1
3.5,3.4,1.8,3.11,Moderate,6,9,1.0,4.0,0
2.7,3.5,1.2,3.38,High,8,8,5.0,4.0,1
2.7,3.5,1.2,3.38,High,8,8,5.0,5.0,1
2.7,3.5,1.2,3.38,High,8,8,3.0,2.0,0
2.7,3.5,1.2,3.38,High,8,8,5.0,3.0,1
2.7,3.5,1.2,3.38,High,8,8,3.0,2.0,0
2.7,3.5,1.2,3.38,High,8,8,1.0,5.0,0
3.5,0.2,5.1,2.84,Low,6,9,3.0,3.0,0
3.5,0.2,5.1,2.84,Low,6,9,5.0,5.0,1
3.5,0.2,5.1,2.84,Low,6,9,4.0,5.0,1
3.5,0.2,5.1,2.84,Low,6,9,2.0,2.0,0
3.5,0.2,5.1,2.84,Low,6,9,1.0,4.0,1
3.5,0.2,5.1,2.84,Low,6,9,4.0,1.0,0
3.5,0.2,5.1,2.84,Low,6,9,3.0,3.0,0
3.5,0.2,5.1,2.84,Low,6,9,1.0,1.0,0
3.5,0.2,5.1,2.84,Low,6,9,3.0,3.0,1
3.5,0.2,5.1,2.84,Low,6,9,4.0,5.0,1
3.5,0.2,5.1,2.84,Low,6,9,1.0,1.0,0
